name,country,city,ranking,programs,tuition,scholarship,website
West Herts College,United Kingdom,London,319,"MBA, MS Computer Science, Robotics",37552,Medium,https://westherts.ac.uk
Royal Holloway University of London,United Kingdom,London,219,"Business Analytics, Artificial Intelligence, Software Engineering",41033,Medium,https://rhul.ac.uk
University of Portsmouth,United Kingdom,London,175,"Data Science, MS Computer Science, Artificial Intelligence",36888,High,http://www.port.ac.uk/
Futureworks,United Kingdom,Manchester,317,"Business Analytics, Cybersecurity, MBA",37048,Very High,https://futureworks.ac.uk/
University of the Arts London,United Kingdom,Manchester,482,"Cybersecurity, Robotics, Software Engineering",50480,Low,https://www.arts.ac.uk
University of Aberdeen,United Kingdom,Manchester,360,"Data Science, Cybersecurity, Artificial Intelligence",48991,Low,http://www.abdn.ac.uk/
Aberystwyth University,United Kingdom,London,93,"Cybersecurity, Robotics, Artificial Intelligence",35179,Low,https://aber.ac.uk/
University of Abertay Dundee,United Kingdom,London,196,"Software Engineering, Robotics, Data Science",54556,Low,http://www.abertay.ac.uk/
American InterContinental University - London,United Kingdom,Manchester,140,"Cybersecurity, Business Analytics, Data Science",43070,Low,http://www.aiuniv.edu/
Anglia Ruskin University,United Kingdom,London,397,"Artificial Intelligence, Cybersecurity, Software Engineering",51295,Low,http://www.anglia.ac.uk/
Aston University,United Kingdom,London,60,"Business Analytics, Robotics, MBA",54444,Low,http://www.aston.ac.uk/
The American University in London,United Kingdom,London,434,"MS Computer Science, MBA, Data Science",31151,Low,http://www.aul.edu/
"University of Wales, Bangor",United Kingdom,Manchester,386,"Data Science, Robotics, Software Engineering",45248,High,http://www.bangor.ac.uk/
University of Bath,United Kingdom,Manchester,236,"MBA, Software Engineering, Robotics",39836,High,http://www.bath.ac.uk/
Bath Spa University,United Kingdom,London,419,"Software Engineering, Data Science, Robotics",29680,Low,https://www.bathspa.ac.uk/
"Birkbeck College, University of London",United Kingdom,Manchester,309,"Robotics, Software Engineering, Cybersecurity",28517,Low,http://www.bbk.ac.uk/
British College of Osteopathic Medicine,United Kingdom,Manchester,413,"Data Science, Artificial Intelligence, Business Analytics",30924,High,http://www.bcom.ac.uk/
Birmingham City University,United Kingdom,Manchester,315,"MBA, Cybersecurity, Business Analytics",49336,Medium,http://www.bcu.ac.uk/
University of Bedfordshire,United Kingdom,London,13,"MBA, Data Science, Artificial Intelligence",26057,High,http://www.beds.ac.uk/
University of Birmingham,United Kingdom,Manchester,29,"Robotics, MBA, Software Engineering",52634,Low,http://www.bham.ac.uk/
University of Bolton,United Kingdom,Manchester,478,"Business Analytics, MS Computer Science, Artificial Intelligence",44894,Low,http://www.bolton.ac.uk/
Bournemouth University,United Kingdom,London,181,"Robotics, MBA, MS Computer Science",48057,Very High,http://www.bournemouth.ac.uk/
University of Bradford,United Kingdom,Manchester,349,"Cybersecurity, Robotics, Artificial Intelligence",49961,High,http://www.brad.ac.uk/
London School of Jewish Studies,United Kingdom,London,237,"Cybersecurity, Robotics, Business Analytics",28854,Very High,http://www.brijnet.org/lsjs/
University of Bristol,United Kingdom,London,267,"Business Analytics, Cybersecurity, Artificial Intelligence",54677,Low,https://www.bristol.ac.uk/
Oxford Brookes University,United Kingdom,London,379,"Business Analytics, Cybersecurity, MS Computer Science",31790,Low,http://www.brookes.ac.uk/
Brunel University Uxbridge,United Kingdom,Manchester,375,"Robotics, MS Computer Science, Business Analytics",35316,Very High,http://www.brunel.ac.uk/
University of Brighton,United Kingdom,London,269,"Cybersecurity, MBA, Data Science",51414,High,http://www.bton.ac.uk/
University of Buckingham,United Kingdom,London,428,"MS Computer Science, Robotics, Software Engineering",25944,Very High,http://www.buck.ac.uk/
Buckinghamshire New University,United Kingdom,Manchester,179,"Artificial Intelligence, Business Analytics, MS Computer Science",54855,High,http://www.bucks.ac.uk/
University of Cambridge,United Kingdom,Manchester,67,"Robotics, Artificial Intelligence, Software Engineering",54616,Low,http://www.cam.ac.uk/
Camberwell College of Arts,United Kingdom,London,415,"Robotics, Data Science, Cybersecurity",41076,Low,http://www.camb.linst.ac.uk/
Canterbury Christ Church University,United Kingdom,London,172,"MBA, Artificial Intelligence, MS Computer Science",52492,Low,http://www.canterbury.ac.uk/
Cardiff University,United Kingdom,London,247,"Robotics, Software Engineering, MBA",42236,High,http://www.cardiff.ac.uk/
Chelsea College of Art and Design,United Kingdom,London,367,"MS Computer Science, Software Engineering, Data Science",43983,Low,http://www.chelsea.linst.ac.uk/
University of Chester,United Kingdom,Manchester,379,"Robotics, MS Computer Science, MBA",35901,Medium,http://www.chester.ac.uk/
City University,United Kingdom,London,230,"MS Computer Science, Artificial Intelligence, Cybersecurity",38797,Very High,http://www.city.ac.uk/
"Courtauld Institute of Art, University of London",United Kingdom,London,50,"Business Analytics, Cybersecurity, MS Computer Science",39630,Medium,http://www.courtauld.ac.uk/
Coventry University,United Kingdom,London,217,"Business Analytics, MS Computer Science, MBA",49814,Very High,http://www.coventry.ac.uk/
Cranfield University,United Kingdom,Manchester,177,"Artificial Intelligence, Cybersecurity, MBA",46439,Low,http://www.cranfield.ac.uk/
Central Saint Martins College of Art & Design,United Kingdom,London,312,"MS Computer Science, Business Analytics, Robotics",40265,Very High,http://www.csm.linst.ac.uk/
University of Derby,United Kingdom,London,297,"MBA, Data Science, MS Computer Science",42234,High,http://www.derby.ac.uk/
De Montfort University Leicester,United Kingdom,Manchester,55,"Artificial Intelligence, Data Science, Software Engineering",49762,Low,http://www.dmu.ac.uk/
University of Dundee,United Kingdom,London,379,"Software Engineering, Artificial Intelligence, Robotics",31000,Very High,http://www.dundee.ac.uk/
University of Durham,United Kingdom,Manchester,74,"Software Engineering, Artificial Intelligence, Robotics",26529,Low,http://www.dur.ac.uk/
Edge Hill University,United Kingdom,Manchester,83,"Software Engineering, Artificial Intelligence, Data Science",30916,Very High,http://www.edgehill.ac.uk/
University of Edinburgh,United Kingdom,Manchester,39,"Robotics, MS Computer Science, Artificial Intelligence",45840,Low,http://www.ed.ac.uk/
European School of Economics,United Kingdom,Manchester,175,"Software Engineering, Cybersecurity, Business Analytics",40540,High,http://www.eselondon.ac.uk/
University of Essex,United Kingdom,London,41,"Business Analytics, Artificial Intelligence, Software Engineering",52441,High,http://www.essex.ac.uk/
University of Exeter,United Kingdom,Manchester,159,"MS Computer Science, Robotics, Artificial Intelligence",34807,Low,http://www.ex.ac.uk/
Falmouth University,United Kingdom,Manchester,209,"Software Engineering, Robotics, Cybersecurity",34422,Medium,http://www.falmouth.ac.uk/
Glasgow Caledonian University,United Kingdom,London,448,"Cybersecurity, Business Analytics, Data Science",43084,Low,http://www.gcal.ac.uk/
University of Glasgow,United Kingdom,Manchester,2,"Robotics, Software Engineering, MBA",45028,High,http://www.gla.ac.uk/
University of Glamorgan,United Kingdom,Manchester,383,"Robotics, Software Engineering, MBA",26730,High,http://www.glam.ac.uk/
University of Gloucestershire,United Kingdom,London,368,"Cybersecurity, Artificial Intelligence, Business Analytics",27475,Medium,http://www.glos.ac.uk/
"Goldsmiths College, University of London",United Kingdom,Manchester,121,"Artificial Intelligence, Data Science, MBA",48385,High,http://www.gold.ac.uk/
University of Greenwich,United Kingdom,London,30,"MS Computer Science, MBA, Robotics",45786,Low,http://www.gre.ac.uk/
Glasgow School of Art,United Kingdom,Manchester,488,"Cybersecurity, Artificial Intelligence, MS Computer Science",36862,Very High,http://www.gsa.ac.uk/
"University of Halifax, Birmingham Campus",United Kingdom,London,59,"Data Science, Artificial Intelligence, Robotics",52517,Very High,http://www.halifaxuni.ac/
University of Hertfordshire,United Kingdom,London,484,"Software Engineering, Data Science, Artificial Intelligence",26874,Medium,http://www.herts.ac.uk/
"Heythrop College, University of London",United Kingdom,London,213,"Software Engineering, Cybersecurity, Robotics",28502,Medium,http://www.heythrop.ac.uk/
Liverpool Hope University College,United Kingdom,London,389,"Cybersecurity, Data Science, MBA",37782,Low,http://www.hope.ac.uk/
University of Huddersfield,United Kingdom,Manchester,207,"MS Computer Science, MBA, Cybersecurity",44235,Very High,http://www.hud.ac.uk/
University of Hull,United Kingdom,London,52,"Cybersecurity, Software Engineering, MBA",25416,High,http://www.hull.ac.uk/
Huron University USA in London,United Kingdom,London,30,"Artificial Intelligence, Robotics, Business Analytics",42446,Very High,http://www.huron.ac.uk/
Heriot-Watt University,United Kingdom,Manchester,68,"Robotics, Cybersecurity, MS Computer Science",47950,High,http://www.hw.ac.uk/
Imperial College London,United Kingdom,Manchester,17,"Cybersecurity, Artificial Intelligence, Robotics",26748,Medium,http://www.imperial.ac.uk/
ifs University College,United Kingdom,London,469,"Artificial Intelligence, Cybersecurity, Business Analytics",37037,High,http://www.ifslearning.ac.uk/
"Institue of Historical Research, University of London",United Kingdom,Manchester,363,"Robotics, Cybersecurity, Business Analytics",41179,High,http://ihr.sas.ac.uk/
"Institute of Education, University of London",United Kingdom,Manchester,281,"Artificial Intelligence, Robotics, MBA",47216,High,http://www.ioe.ac.uk/
International Colleges of Islamic Science,United Kingdom,Manchester,341,"MBA, Artificial Intelligence, MS Computer Science",49811,High,http://www.islamiccolleges.com/
"King's College London, University of London",United Kingdom,London,349,"Business Analytics, Cybersecurity, MBA",40205,High,http://www.kcl.ac.uk/
Keele University,United Kingdom,London,458,"Data Science, MBA, MS Computer Science",37118,Very High,http://www.keele.ac.uk/
Kingston University,United Kingdom,Manchester,252,"Data Science, Business Analytics, Cybersecurity",51203,High,http://www.kingston.ac.uk/
International Centre for Isclamic Science,United Kingdom,Manchester,422,"Business Analytics, Software Engineering, Data Science",40916,High,http://www.kolieh.com/
"University of Wales, Lampeter",United Kingdom,Manchester,203,"Software Engineering, Robotics, MBA",31115,High,http://www.lamp.ac.uk/
University of Lancaster,United Kingdom,London,84,"MBA, MS Computer Science, Robotics",35916,Low,http://www.lancs.ac.uk/
Loughborough University,United Kingdom,London,245,"Data Science, Artificial Intelligence, Software Engineering",26541,Very High,http://www.lboro.ac.uk/
London College of Science & Technology,United Kingdom,London,93,"MBA, Robotics, Data Science",26603,Low,http://www.lcst.ac/
University of Leicester,United Kingdom,London,479,"Artificial Intelligence, Data Science, Robotics",53608,High,http://www.le.ac.uk/
University of Leeds,United Kingdom,London,166,"Data Science, Software Engineering, Robotics",30723,Medium,http://www.leeds.ac.uk/
London Guildhall University,United Kingdom,Manchester,416,"Software Engineering, MBA, Data Science",43200,Low,http://www.lgu.ac.uk/
London Institute of Management and Technology,United Kingdom,London,317,"Robotics, Business Analytics, Software Engineering",41328,Very High,http://www.limt.co.uk/
University of Lincoln,United Kingdom,London,276,"Business Analytics, MS Computer Science, Software Engineering",39341,High,http://www.lincoln.ac.uk/
University of Liverpool,United Kingdom,London,53,"Robotics, Data Science, MS Computer Science",29484,Medium,http://www.liv.ac.uk/
Liverpool John Moores University,United Kingdom,Manchester,235,"Robotics, MBA, Business Analytics",50967,Low,https://www.ljmu.ac.uk/
Leeds Beckett University,United Kingdom,Manchester,429,"Software Engineering, Business Analytics, Robotics",48958,High,https://www.leedsbeckett.ac.uk/
University of London,United Kingdom,Manchester,485,"MBA, Artificial Intelligence, Software Engineering",27656,High,https://www.london.ac.uk/
London Metropolitan University,United Kingdom,London,268,"Artificial Intelligence, Robotics, MBA",52852,Low,http://www.londonmet.ac.uk/
London School of Business & Finance,United Kingdom,London,130,"MBA, Robotics, Artificial Intelligence",51507,Low,http://www.lsbf.org.uk/
"London School of Economics and Political Science, University of London",United Kingdom,Manchester,240,"MS Computer Science, Robotics, Data Science",30541,Medium,http://www.lse.ac.uk/
"London School of Hygiene & Tropical Medicine, University of London",United Kingdom,London,349,"MBA, MS Computer Science, Business Analytics",29524,High,http://www.lshtm.ac.uk/
University of Manchester,United Kingdom,London,284,"Software Engineering, Business Analytics, Robotics",51093,High,http://www.manchester.ac.uk/
Middlesex University - London,United Kingdom,Manchester,55,"MBA, Data Science, Software Engineering",50408,Medium,https://www.mdx.ac.uk/
Imperial College School of Medicine,United Kingdom,Manchester,422,"Cybersecurity, Software Engineering, MS Computer Science",29106,Medium,http://www.med.ic.ac.uk/
The Manchester Metropolitan University,United Kingdom,London,473,"Software Engineering, Robotics, MBA",42809,Low,http://www.mmu.ac.uk/
Edinburgh Napier University,United Kingdom,London,198,"Cybersecurity, MS Computer Science, MBA",37158,High,https://www.napier.ac.uk/
Newcastle University,United Kingdom,Manchester,368,"Business Analytics, Artificial Intelligence, MBA",37001,Low,https://www.ncl.ac.uk/
"University of Wales, Newport",United Kingdom,Manchester,47,"Artificial Intelligence, MBA, Business Analytics",39258,High,http://www.newport.ac.uk/
Newport International University,United Kingdom,London,224,"Robotics, MBA, Cybersecurity",37985,Medium,http://www.niu.org.uk/
IU Internationale Hochschule GmbH,Germany,Munich,238,"MBA, Business Analytics, MS Computer Science",3241,Medium,https://www.iu-fernstudium.de/
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Munich,446,"Data Science, MBA, Artificial Intelligence",13058,Medium,http://www.akad.de/
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Berlin,189,"Artificial Intelligence, MBA, MS Computer Science",1520,Very High,http://www.asfh-berlin.de/
Augustana Hochschule Neuendettelsau,Germany,Munich,269,"Software Engineering, Robotics, Business Analytics",7668,High,http://www.augustana.de/
Kirchliche Hochschule Bethel,Germany,Munich,77,"Cybersecurity, MS Computer Science, MBA",3174,High,http://www.bethel.de/kiho/
BiTS - Business and Information Technology School gGmbH,Germany,Berlin,29,"MBA, Software Engineering, MS Computer Science",1092,Low,http://www.bits-iserlohn.de/
Cologne Business School,Germany,Munich,351,"Business Analytics, Robotics, MBA",12412,Very High,http://www.cbs.de/
CODE University of Applied Sciences Berlin,Germany,Berlin,22,"MBA, Cybersecurity, Artificial Intelligence",4125,Medium,http://code.berlin/
Deutsche Hochschule für Verwaltungswissenschaften Speyer,Germany,Berlin,268,"Business Analytics, Robotics, Software Engineering",5143,Low,http://www.dhv-speyer.de/
DIPLOMA-Fachhochschule Ölsnitz/Vogtland,Germany,Berlin,279,"Business Analytics, MS Computer Science, Artificial Intelligence",10767,Very High,http://www.diploma.de/
Deutsche Sporthochschule Köln,Germany,Munich,368,"Data Science, Cybersecurity, Software Engineering",12354,Low,http://www.dshs-koeln.de/
E.A.P. Europäische Wirtschaftshochschule Berlin,Germany,Berlin,472,"MBA, Artificial Intelligence, MS Computer Science",4196,High,http://www.eap.net/
Europäische Betriebswirtschafts-Akademie,Germany,Berlin,28,"Artificial Intelligence, MS Computer Science, Business Analytics",3448,Medium,http://www.eba-muenchen.de/
European Business School Schloß Reichartshausen,Germany,Berlin,118,"Artificial Intelligence, MBA, Robotics",12858,Low,http://www.ebs.de/
European College of Liberal Arts,Germany,Berlin,333,"MS Computer Science, Data Science, Cybersecurity",3213,Low,http://www.ecla.de/
Evangelische Fachhochschule Rheinland-Westfalen-Lippe,Germany,Berlin,192,"Cybersecurity, MS Computer Science, Artificial Intelligence",3258,Low,http://www.efh-bochum.de/
Evangelische Fachhochschule Darmstadt,Germany,Berlin,113,"MBA, MS Computer Science, Business Analytics",7160,Low,https://www.eh-darmstadt.de/
"Evangelische Fachhochschule Freiburg, Hochschule für Soziale Arbeit, Diakonie und Religionspädagogik",Germany,Berlin,332,"Business Analytics, MS Computer Science, Data Science",10872,Low,http://www.efh-freiburg.de/
Evangelische Fachhochschule Hannover,Germany,Berlin,128,"Artificial Intelligence, MS Computer Science, Business Analytics",12509,Medium,http://www.efh-hannover.de/
