name,country,city,ranking,programs,tuition,scholarship,website
Lansbridge University,Canada,Vancouver,100,"Software Engineering, Cybersecurity, Business Analytics",42529,Very High,http://www.lansbridge.com/
Laurentian University of Sudbury,Canada,Toronto,138,"Software Engineering, Data Science, Cybersecurity",38628,High,http://www.laurentian.ca/
MacEwan University,Canada,Toronto,99,"Business Analytics, Software Engineering, Robotics",37252,Very High,http://www.macewan.ca/
Malaspina University College,Canada,Vancouver,9,"Cybersecurity, Robotics, Artificial Intelligence",38792,Low,http://www.mala.bc.ca/
McGill University,Canada,Vancouver,198,"Robotics, Business Analytics, Cybersecurity",20788,Low,http://www.mcgill.ca/
McMaster University,Canada,Vancouver,413,"MS Computer Science, Artificial Intelligence, Robotics",40949,Very High,http://www.mcmaster.ca/
Mount Saint Vincent University,Canada,Toronto,56,"Robotics, Data Science, Business Analytics",37144,Medium,http://www.msvu.ca/
Mount Allison University,Canada,Vancouver,388,"MBA, MS Computer Science, Software Engineering",28879,Medium,http://www.mta.ca/
Mount Royal University,Canada,Toronto,145,"Data Science, Artificial Intelligence, Robotics",39089,Low,http://www.mtroyal.ca/
Northern Alberta Institute of Technology,Canada,Toronto,243,"MBA, Cybersecurity, Data Science",33855,Very High,http://www.nait.ca/
North Island College,Canada,Vancouver,71,"MS Computer Science, Business Analytics, Data Science",41947,Very High,http://www.nic.bc.ca/
Nipissing University,Canada,Vancouver,382,"Business Analytics, Software Engineering, Robotics",44821,Low,http://www.nipissingu.ca/
Northern Lights College,Canada,Vancouver,406,"Data Science, Artificial Intelligence, Software Engineering",36226,Very High,http://www.nlc.bc.ca/
Nova Scotia Agricultural College,Canada,Vancouver,113,"Software Engineering, Artificial Intelligence, Business Analytics",29851,Low,http://www.nsac.ns.ca/
Nova Scotia College of Art and Design,Canada,Toronto,29,"Software Engineering, Data Science, Artificial Intelligence",36698,Medium,http://www.nscad.ns.ca/
Nicola Valley Institute of Technology,Canada,Vancouver,65,"Artificial Intelligence, Software Engineering, Data Science",30007,Very High,http://www.nvit.bc.ca/
Ontario College of Art and Design,Canada,Toronto,2,"Robotics, Software Engineering, Business Analytics",39284,Medium,http://www.ocad.ca/
Okanagan University College,Canada,Toronto,326,"Business Analytics, Artificial Intelligence, Robotics",42932,Medium,http://www.okanagan.bc.ca/
Dominican College of Philosophy and Theology,Canada,Vancouver,12,"Business Analytics, MS Computer Science, Software Engineering",25033,High,http://www.op.org/canada/college.htm
Pacific International College,Canada,Toronto,39,"Software Engineering, Business Analytics, Cybersecurity",40520,Very High,http://www.picollege.ca/
"École Polytechnique de Montréal, Université de Montréal",Canada,Toronto,193,"Business Analytics, Artificial Intelligence, Robotics",26925,Low,http://www.polymtl.ca/
Queen's University,Canada,Vancouver,332,"Data Science, Robotics, Business Analytics",22663,Low,http://www.queensu.ca/
Quest University,Canada,Vancouver,284,"Data Science, Business Analytics, Artificial Intelligence",43967,Very High,http://www.questu.ca/
Redeemer College,Canada,Toronto,214,"Artificial Intelligence, Cybersecurity, MS Computer Science",31695,Medium,http://www.redeemer.ca/
Regent College,Canada,Vancouver,224,"MS Computer Science, MBA, Cybersecurity",26607,Medium,http://www.regent-college.edu/
Royal Military College of Canada,Canada,Vancouver,65,"MBA, Software Engineering, MS Computer Science",31746,Low,http://www.rmc.ca/
Royal Roads University,Canada,Toronto,363,"Software Engineering, Cybersecurity, Robotics",34553,Medium,http://www.royalroads.ca/
Ryerson Polytechnic University,Canada,Vancouver,55,"Robotics, Business Analytics, Data Science",31039,High,http://www.ryerson.ca/
Southern Alberta Institute of Technology,Canada,Vancouver,246,"MS Computer Science, Business Analytics, Cybersecurity",29444,High,http://www.sait.ca/
Luther College,Canada,Vancouver,207,"MBA, Data Science, Robotics",35510,Very High,http://www.saskweb.com/luthercollege/
Sauder School of Business,Canada,Vancouver,431,"MS Computer Science, Data Science, Robotics",29755,Medium,http://www.sauder.ubc.ca/
"University of Toronto, Scarborough",Canada,Vancouver,59,"Cybersecurity, Artificial Intelligence, Data Science",29255,Very High,http://www.scar.utoronto.ca/
Selkirk College,Canada,Vancouver,257,"Software Engineering, Robotics, Artificial Intelligence",30751,Medium,http://www.selkirk.bc.ca/
Seneca College,Canada,Vancouver,128,"Robotics, Artificial Intelligence, Data Science",22104,Medium,http://www.senecacollege.ca/
Simon Fraser University,Canada,Toronto,228,"Business Analytics, Robotics, Data Science",29939,Very High,http://www.sfu.ca/
Sheridan College,Canada,Vancouver,344,"Business Analytics, Artificial Intelligence, Cybersecurity",40801,High,http://www.sheridancollege.ca/
Saskatchewan Indian Federated College,Canada,Toronto,295,"Cybersecurity, Robotics, MBA",43876,High,http://www.sifc.edu/
St. Clair College,Canada,Toronto,35,"Data Science, Artificial Intelligence, Software Engineering",37920,High,http://www.stclairc.on.ca/
St. Francis Xavier University,Canada,Toronto,220,"Artificial Intelligence, MBA, Business Analytics",22795,Low,http://www.stfx.ca/
St. Mary's University,Canada,Vancouver,56,"Business Analytics, Data Science, MBA",28329,Medium,http://www.stmarys.ca/
St. Thomas University,Canada,Toronto,15,"Software Engineering, Business Analytics, Cybersecurity",39447,Very High,http://www.stthomasu.ca/
"Télé-université, Université du Québec",Canada,Vancouver,268,"Data Science, Business Analytics, MS Computer Science",40508,Low,http://www.teluq.uquebec.ca/
Trent University,Canada,Vancouver,413,"Software Engineering, Robotics, MBA",25315,High,http://www.trentu.ca/
University of Trinity College,Canada,Vancouver,261,"Robotics, Cybersecurity, Software Engineering",35021,High,http://www.trinity.utoronto.ca/
Thompson Rivers University,Canada,Vancouver,6,"Cybersecurity, MBA, Artificial Intelligence",38281,Very High,http://www.tru.ca/
Trinity Western University,Canada,Toronto,87,"Software Engineering, Business Analytics, Robotics",37745,Medium,http://www.twu.ca/
University of Alberta,Canada,Toronto,454,"MBA, Cybersecurity, Artificial Intelligence",29274,Medium,http://www.ualberta.ca/
University of British Columbia,Canada,Vancouver,175,"Software Engineering, Business Analytics, MS Computer Science",29656,Very High,http://www.ubc.ca/
Bishop's University,Canada,Toronto,292,"Cybersecurity, Software Engineering, MBA",39145,Medium,http://www.ubishops.ca/
University of Calgary,Canada,Toronto,60,"Cybersecurity, Robotics, Software Engineering",43687,Medium,http://www.ucalgary.ca/
West Herts College,United Kingdom,Manchester,458,"Cybersecurity, Software Engineering, MS Computer Science",34316,High,https://westherts.ac.uk
Royal Holloway University of London,United Kingdom,London,218,"MS Computer Science, Business Analytics, Data Science",36705,High,https://rhul.ac.uk
University of Portsmouth,United Kingdom,London,126,"Artificial Intelligence, Cybersecurity, MS Computer Science",31838,Very High,http://www.port.ac.uk/
Futureworks,United Kingdom,Manchester,142,"Business Analytics, Data Science, Software Engineering",50344,High,https://futureworks.ac.uk/
University of the Arts London,United Kingdom,Manchester,156,"Artificial Intelligence, Robotics, MBA",49559,Medium,https://www.arts.ac.uk
University of Aberdeen,United Kingdom,London,497,"Robotics, Data Science, Software Engineering",37958,High,http://www.abdn.ac.uk/
Aberystwyth University,United Kingdom,London,155,"Software Engineering, Artificial Intelligence, Robotics",31725,Very High,https://aber.ac.uk/
University of Abertay Dundee,United Kingdom,London,4,"Data Science, MS Computer Science, Business Analytics",37842,Medium,http://www.abertay.ac.uk/
American InterContinental University - London,United Kingdom,London,323,"MS Computer Science, Business Analytics, Robotics",38701,High,http://www.aiuniv.edu/
Anglia Ruskin University,United Kingdom,London,10,"Cybersecurity, Data Science, MBA",43023,High,http://www.anglia.ac.uk/
Aston University,United Kingdom,Manchester,176,"MS Computer Science, Cybersecurity, MBA",43280,Medium,http://www.aston.ac.uk/
The American University in London,United Kingdom,London,260,"Artificial Intelligence, Data Science, Robotics",29400,High,http://www.aul.edu/
"University of Wales, Bangor",United Kingdom,London,86,"Data Science, MBA, Business Analytics",51645,Very High,http://www.bangor.ac.uk/
University of Bath,United Kingdom,London,331,"Robotics, MS Computer Science, Software Engineering",50679,High,http://www.bath.ac.uk/
Bath Spa University,United Kingdom,Manchester,139,"Software Engineering, Cybersecurity, Data Science",50831,Medium,https://www.bathspa.ac.uk/
"Birkbeck College, University of London",United Kingdom,Manchester,78,"MBA, Cybersecurity, Robotics",47946,Medium,http://www.bbk.ac.uk/
British College of Osteopathic Medicine,United Kingdom,Manchester,389,"Data Science, Business Analytics, Robotics",41068,High,http://www.bcom.ac.uk/
Birmingham City University,United Kingdom,London,331,"Software Engineering, Cybersecurity, Data Science",38215,Very High,http://www.bcu.ac.uk/
University of Bedfordshire,United Kingdom,London,255,"MBA, Software Engineering, Cybersecurity",33427,High,http://www.beds.ac.uk/
University of Birmingham,United Kingdom,Manchester,177,"Data Science, Software Engineering, Business Analytics",51489,High,http://www.bham.ac.uk/
University of Bolton,United Kingdom,London,214,"MS Computer Science, Business Analytics, Data Science",26305,High,http://www.bolton.ac.uk/
Bournemouth University,United Kingdom,London,472,"Business Analytics, Software Engineering, Cybersecurity",44904,High,http://www.bournemouth.ac.uk/
University of Bradford,United Kingdom,Manchester,95,"Data Science, Software Engineering, Robotics",27016,Medium,http://www.brad.ac.uk/
London School of Jewish Studies,United Kingdom,Manchester,167,"Business Analytics, MBA, Robotics",41503,Medium,http://www.brijnet.org/lsjs/
University of Bristol,United Kingdom,London,297,"Cybersecurity, Software Engineering, Business Analytics",48059,Low,https://www.bristol.ac.uk/
Oxford Brookes University,United Kingdom,London,222,"Business Analytics, Cybersecurity, MS Computer Science",43826,Very High,http://www.brookes.ac.uk/
Brunel University Uxbridge,United Kingdom,Manchester,305,"Cybersecurity, MS Computer Science, Data Science",34278,Low,http://www.brunel.ac.uk/
University of Brighton,United Kingdom,London,47,"MS Computer Science, Software Engineering, Business Analytics",30800,Low,http://www.bton.ac.uk/
University of Buckingham,United Kingdom,London,447,"MS Computer Science, Business Analytics, Data Science",39669,Medium,http://www.buck.ac.uk/
Buckinghamshire New University,United Kingdom,London,184,"Software Engineering, Artificial Intelligence, Robotics",26593,Low,http://www.bucks.ac.uk/
University of Cambridge,United Kingdom,London,102,"Artificial Intelligence, Cybersecurity, Business Analytics",41788,High,http://www.cam.ac.uk/
Camberwell College of Arts,United Kingdom,London,99,"Business Analytics, Software Engineering, MBA",35489,High,http://www.camb.linst.ac.uk/
Canterbury Christ Church University,United Kingdom,Manchester,396,"MBA, Business Analytics, Artificial Intelligence",26210,High,http://www.canterbury.ac.uk/
Cardiff University,United Kingdom,London,36,"Cybersecurity, MS Computer Science, Software Engineering",46121,Medium,http://www.cardiff.ac.uk/
Chelsea College of Art and Design,United Kingdom,Manchester,288,"Software Engineering, Data Science, Cybersecurity",35427,Very High,http://www.chelsea.linst.ac.uk/
University of Chester,United Kingdom,Manchester,408,"Robotics, Business Analytics, MS Computer Science",30066,Very High,http://www.chester.ac.uk/
City University,United Kingdom,London,362,"Business Analytics, Robotics, Artificial Intelligence",27872,Low,http://www.city.ac.uk/
"Courtauld Institute of Art, University of London",United Kingdom,Manchester,214,"Software Engineering, Robotics, MBA",41278,Low,http://www.courtauld.ac.uk/
Coventry University,United Kingdom,Manchester,491,"MBA, MS Computer Science, Data Science",30810,High,http://www.coventry.ac.uk/
Cranfield University,United Kingdom,Manchester,427,"Software Engineering, MBA, Business Analytics",44093,Medium,http://www.cranfield.ac.uk/
Central Saint Martins College of Art & Design,United Kingdom,London,297,"MS Computer Science, Cybersecurity, MBA",53467,Low,http://www.csm.linst.ac.uk/
University of Derby,United Kingdom,London,412,"Data Science, Software Engineering, MS Computer Science",34484,Medium,http://www.derby.ac.uk/
De Montfort University Leicester,United Kingdom,London,106,"MBA, Cybersecurity, Data Science",39603,High,http://www.dmu.ac.uk/
University of Dundee,United Kingdom,Manchester,439,"Business Analytics, Artificial Intelligence, Robotics",31183,High,http://www.dundee.ac.uk/
University of Durham,United Kingdom,London,323,"Software Engineering, MS Computer Science, Cybersecurity",35263,High,http://www.dur.ac.uk/
Edge Hill University,United Kingdom,Manchester,237,"Software Engineering, MBA, Artificial Intelligence",36045,High,http://www.edgehill.ac.uk/
University of Edinburgh,United Kingdom,London,320,"Business Analytics, MBA, Data Science",45058,Low,http://www.ed.ac.uk/
European School of Economics,United Kingdom,London,372,"MBA, Data Science, Business Analytics",40128,Medium,http://www.eselondon.ac.uk/
University of Essex,United Kingdom,London,226,"MBA, Cybersecurity, Robotics",35409,Very High,http://www.essex.ac.uk/
University of Exeter,United Kingdom,Manchester,417,"Data Science, Robotics, MBA",39840,Medium,http://www.ex.ac.uk/
Falmouth University,United Kingdom,Manchester,457,"Artificial Intelligence, MBA, Robotics",50631,Very High,http://www.falmouth.ac.uk/
Glasgow Caledonian University,United Kingdom,London,292,"MBA, Software Engineering, MS Computer Science",46337,Very High,http://www.gcal.ac.uk/
University of Glasgow,United Kingdom,Manchester,259,"MS Computer Science, Artificial Intelligence, MBA",38571,High,http://www.gla.ac.uk/
University of Glamorgan,United Kingdom,Manchester,284,"MBA, Business Analytics, Robotics",36754,Low,http://www.glam.ac.uk/
University of Gloucestershire,United Kingdom,Manchester,335,"Cybersecurity, Business Analytics, Robotics",31655,Medium,http://www.glos.ac.uk/
"Goldsmiths College, University of London",United Kingdom,London,270,"Robotics, Data Science, Cybersecurity",43903,Medium,http://www.gold.ac.uk/
University of Greenwich,United Kingdom,Manchester,270,"Data Science, Business Analytics, Artificial Intelligence",34638,High,http://www.gre.ac.uk/
Glasgow School of Art,United Kingdom,Manchester,115,"Artificial Intelligence, Data Science, Robotics",53791,Medium,http://www.gsa.ac.uk/
"University of Halifax, Birmingham Campus",United Kingdom,Manchester,86,"Business Analytics, Software Engineering, Artificial Intelligence",25436,Very High,http://www.halifaxuni.ac/
University of Hertfordshire,United Kingdom,Manchester,287,"Business Analytics, MS Computer Science, Cybersecurity",26742,High,http://www.herts.ac.uk/
"Heythrop College, University of London",United Kingdom,Manchester,210,"MS Computer Science, MBA, Business Analytics",49409,High,http://www.heythrop.ac.uk/
Liverpool Hope University College,United Kingdom,London,252,"MS Computer Science, Data Science, Robotics",26383,Very High,http://www.hope.ac.uk/
University of Huddersfield,United Kingdom,London,79,"Business Analytics, MBA, Robotics",45530,High,http://www.hud.ac.uk/
University of Hull,United Kingdom,Manchester,494,"MS Computer Science, Cybersecurity, Data Science",39710,High,http://www.hull.ac.uk/
Huron University USA in London,United Kingdom,Manchester,49,"Business Analytics, MBA, Cybersecurity",42814,Medium,http://www.huron.ac.uk/
Heriot-Watt University,United Kingdom,London,394,"Cybersecurity, Business Analytics, Software Engineering",48426,Very High,http://www.hw.ac.uk/
Imperial College London,United Kingdom,Manchester,82,"Data Science, Cybersecurity, MS Computer Science",28085,High,http://www.imperial.ac.uk/
ifs University College,United Kingdom,London,170,"Cybersecurity, Software Engineering, MBA",48651,High,http://www.ifslearning.ac.uk/
"Institue of Historical Research, University of London",United Kingdom,London,294,"Artificial Intelligence, Software Engineering, Business Analytics",47767,Low,http://ihr.sas.ac.uk/
"Institute of Education, University of London",United Kingdom,Manchester,387,"Artificial Intelligence, Robotics, Cybersecurity",36128,High,http://www.ioe.ac.uk/
International Colleges of Islamic Science,United Kingdom,Manchester,1,"Business Analytics, Data Science, Software Engineering",49443,Medium,http://www.islamiccolleges.com/
"King's College London, University of London",United Kingdom,London,376,"Artificial Intelligence, Robotics, MS Computer Science",25786,High,http://www.kcl.ac.uk/
Keele University,United Kingdom,London,485,"Software Engineering, Data Science, Artificial Intelligence",37730,Very High,http://www.keele.ac.uk/
Kingston University,United Kingdom,Manchester,96,"Data Science, Cybersecurity, Artificial Intelligence",28729,Medium,http://www.kingston.ac.uk/
International Centre for Isclamic Science,United Kingdom,London,322,"Business Analytics, Cybersecurity, Robotics",29298,High,http://www.kolieh.com/
"University of Wales, Lampeter",United Kingdom,Manchester,176,"Robotics, MBA, Business Analytics",47915,High,http://www.lamp.ac.uk/
University of Lancaster,United Kingdom,London,156,"Data Science, Robotics, Business Analytics",39451,Medium,http://www.lancs.ac.uk/
Loughborough University,United Kingdom,London,264,"Software Engineering, Data Science, MS Computer Science",51568,Medium,http://www.lboro.ac.uk/
London College of Science & Technology,United Kingdom,Manchester,36,"Business Analytics, MS Computer Science, MBA",50526,High,http://www.lcst.ac/
University of Leicester,United Kingdom,London,172,"MS Computer Science, Data Science, Artificial Intelligence",48275,Low,http://www.le.ac.uk/
University of Leeds,United Kingdom,Manchester,339,"Data Science, MBA, MS Computer Science",45306,High,http://www.leeds.ac.uk/
London Guildhall University,United Kingdom,Manchester,493,"Artificial Intelligence, Cybersecurity, Robotics",33504,Very High,http://www.lgu.ac.uk/
London Institute of Management and Technology,United Kingdom,Manchester,319,"MS Computer Science, Cybersecurity, Software Engineering",25482,Low,http://www.limt.co.uk/
University of Lincoln,United Kingdom,Manchester,320,"Artificial Intelligence, Robotics, Data Science",40525,Low,http://www.lincoln.ac.uk/
University of Liverpool,United Kingdom,Manchester,355,"Robotics, Business Analytics, Artificial Intelligence",48189,Medium,http://www.liv.ac.uk/
Liverpool John Moores University,United Kingdom,London,394,"Business Analytics, MBA, MS Computer Science",27790,Medium,https://www.ljmu.ac.uk/
Leeds Beckett University,United Kingdom,London,208,"MBA, Software Engineering, Business Analytics",36405,High,https://www.leedsbeckett.ac.uk/
University of London,United Kingdom,London,141,"Data Science, Business Analytics, MBA",43347,Low,https://www.london.ac.uk/
London Metropolitan University,United Kingdom,Manchester,212,"Artificial Intelligence, MBA, Business Analytics",33217,High,http://www.londonmet.ac.uk/
London School of Business & Finance,United Kingdom,Manchester,142,"Software Engineering, Robotics, Cybersecurity",25584,Low,http://www.lsbf.org.uk/
"London School of Economics and Political Science, University of London",United Kingdom,Manchester,500,"MBA, Robotics, Business Analytics",39017,High,http://www.lse.ac.uk/
"London School of Hygiene & Tropical Medicine, University of London",United Kingdom,London,269,"Data Science, Business Analytics, Artificial Intelligence",53076,High,http://www.lshtm.ac.uk/
University of Manchester,United Kingdom,London,34,"Business Analytics, MS Computer Science, Robotics",49386,Low,http://www.manchester.ac.uk/
Middlesex University - London,United Kingdom,London,156,"Software Engineering, Robotics, Data Science",49783,Very High,https://www.mdx.ac.uk/
Imperial College School of Medicine,United Kingdom,Manchester,129,"Robotics, Data Science, MBA",44774,Low,http://www.med.ic.ac.uk/
The Manchester Metropolitan University,United Kingdom,London,8,"Robotics, MS Computer Science, Business Analytics",31147,High,http://www.mmu.ac.uk/
Edinburgh Napier University,United Kingdom,Manchester,57,"Robotics, Software Engineering, Cybersecurity",33126,Medium,https://www.napier.ac.uk/
Newcastle University,United Kingdom,Manchester,223,"Robotics, MBA, Business Analytics",49553,High,https://www.ncl.ac.uk/
"University of Wales, Newport",United Kingdom,London,437,"MBA, Business Analytics, Cybersecurity",26391,Low,http://www.newport.ac.uk/
Newport International University,United Kingdom,Manchester,313,"Business Analytics, Software Engineering, MS Computer Science",44913,Very High,http://www.niu.org.uk/
IU Internationale Hochschule GmbH,Germany,Munich,424,"Software Engineering, Robotics, Business Analytics",7950,Medium,https://www.iu-fernstudium.de/
"AKAD Hochschulen für Berufstätige, Fachhochschule Leipzig",Germany,Munich,56,"Data Science, Software Engineering, Cybersecurity",8883,Medium,http://www.akad.de/
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Germany,Munich,436,"Software Engineering, Robotics, Cybersecurity",7970,Medium,http://www.asfh-berlin.de/
Augustana Hochschule Neuendettelsau,Germany,Berlin,27,"Software Engineering, MBA, Business Analytics",7210,Medium,http://www.augustana.de/
Kirchliche Hochschule Bethel,Germany,Munich,203,"MBA, Data Science, Robotics",14275,High,http://www.bethel.de/kiho/
BiTS - Business and Information Technology School gGmbH,Germany,Berlin,204,"MBA, Robotics, MS Computer Science",2937,Very High,http://www.bits-iserlohn.de/
Cologne Business School,Germany,Munich,123,"MS Computer Science, MBA, Cybersecurity",11951,High,http://www.cbs.de/
CODE University of Applied Sciences Berlin,Germany,Berlin,434,"Software Engineering, MS Computer Science, Robotics",6021,High,http://code.berlin/
Deutsche Hochschule für Verwaltungswissenschaften Speyer,Germany,Munich,64,"Cybersecurity, MS Computer Science, Data Science",2085,Medium,http://www.dhv-speyer.de/
DIPLOMA-Fachhochschule Ölsnitz/Vogtland,Germany,Berlin,82,"Business Analytics, Robotics, Software Engineering",7477,Low,http://www.diploma.de/
Deutsche Sporthochschule Köln,Germany,Munich,398,"Cybersecurity, Business Analytics, Software Engineering",9939,Medium,http://www.dshs-koeln.de/
E.A.P. Europäische Wirtschaftshochschule Berlin,Germany,Munich,85,"Robotics, Business Analytics, MBA",6589,Very High,http://www.eap.net/
Europäische Betriebswirtschafts-Akademie,Germany,Munich,390,"MBA, Robotics, Data Science",10155,Medium,http://www.eba-muenchen.de/
European Business School Schloß Reichartshausen,Germany,Munich,52,"Data Science, Software Engineering, Business Analytics",14277,Very High,http://www.ebs.de/
European College of Liberal Arts,Germany,Munich,27,"MS Computer Science, Artificial Intelligence, Business Analytics",11819,High,http://www.ecla.de/
Evangelische Fachhochschule Rheinland-Westfalen-Lippe,Germany,Munich,86,"Data Science, MS Computer Science, Cybersecurity",13659,Low,http://www.efh-bochum.de/
Evangelische Fachhochschule Darmstadt,Germany,Munich,196,"Robotics, Data Science, Business Analytics",4291,Very High,https://www.eh-darmstadt.de/
"Evangelische Fachhochschule Freiburg, Hochschule für Soziale Arbeit, Diakonie und Religionspädagogik",Germany,Munich,213,"Cybersecurity, Robotics, Artificial Intelligence",1197,Very High,http://www.efh-freiburg.de/
